Código FIPE,Modelo,Ano,Mês de Referência,Preço
501030-6,14000 / 14000 S 2p (diesel) (E5),32000,agosto de 2021 ,"R$ 309.400,00"
501030-6,14000 / 14000 S 2p (diesel) (E5),32000,dezembro de 2020 ,"R$ 258.400,00"
501034-9,10000 / 10000 S  2p (diesel) (E5),2021,novembro de 2021 ,"R$ 181.681,00"
501034-9,10000 / 10000 S  2p (diesel) (E5),2021,maio de 2021 ,"R$ 169.988,00"
501034-9,10000 / 10000 S  2p (diesel) (E5),2021,abril de 2021 ,"R$ 171.221,00"
501034-9,10000 / 10000 S  2p (diesel) (E5),2021,janeiro de 2021 ,"R$ 165.965,00"
501034-9,10000 / 10000 S  2p (diesel) (E5),2021,dezembro de 2021 ,"R$ 182.316,00"
501034-9,10000 / 10000 S  2p (diesel) (E5),2021,julho de 2021 ,"R$ 175.125,00"
501034-9,10000 / 10000 S  2p (diesel) (E5),2021,agosto de 2021 ,"R$ 177.751,00"
501034-9,10000 / 10000 S  2p (diesel) (E5),2020,junho de 2021 ,"R$ 157.357,00"
501027-6,13000 Turbo 2p (diesel),2010,março de 2021 ,"R$ 62.032,00"
501034-9,10000 / 10000 S  2p (diesel) (E5),2020,maio de 2020 ,"R$ 150.251,00"
501027-6,13000 Turbo 2p (diesel),2010,junho de 2021 ,"R$ 62.302,00"
501034-9,10000 / 10000 S  2p (diesel) (E5),2020,outubro de 2021 ,"R$ 165.118,00"
501027-6,13000 Turbo 2p (diesel),2009,maio de 2021 ,"R$ 58.368,00"
501034-9,10000 / 10000 S  2p (diesel) (E5),2020,julho de 2020 ,"R$ 149.474,00"
501034-9,10000 / 10000 S  2p (diesel) (E5),2020,agosto de 2020 ,"R$ 148.816,00"
501040-3,14000 LX 2p (diesel) (E5),2016,dezembro de 2021 ,"R$ 132.099,00"
501040-3,14000 LX 2p (diesel) (E5),2016,fevereiro de 2021 ,"R$ 123.575,00"
501040-3,14000 LX 2p (diesel) (E5),2016,julho de 2021 ,"R$ 126.889,00"
501040-3,14000 LX 2p (diesel) (E5),2016,outubro de 2021 ,"R$ 131.180,00"
501031-4,14000 / 14000 S 6x2 2p (diesel) (E5),2021,junho de 2021 ,"R$ 261.584,00"
501001-2,1600 D-RD 2p (diesel),1993,fevereiro de 2020 ,"R$ 14.154,00"
501001-2,1600 D-RD 2p (diesel),1993,janeiro de 2020 ,"R$ 14.196,00"
501031-4,14000 / 14000 S 6x2 2p (diesel) (E5),2020,maio de 2021 ,"R$ 235.052,00"
501001-2,1600 D-RD 2p (diesel),1992,março de 2020 ,"R$ 13.343,00"
501031-4,14000 / 14000 S 6x2 2p (diesel) (E5),2020,outubro de 2020 ,"R$ 218.055,00"
501030-6,14000 / 14000 S 2p (diesel) (E5),2019,janeiro de 2021 ,"R$ 185.859,00"
501002-0,1600 D-RS 2p (diesel),1993,dezembro de 2021 ,"R$ 15.686,00"
501031-4,14000 / 14000 S 6x2 2p (diesel) (E5),2020,novembro de 2020 ,"R$ 222.854,00"
501030-6,14000 / 14000 S 2p (diesel) (E5),2019,outubro de 2020 ,"R$ 182.645,00"
501030-6,14000 / 14000 S 2p (diesel) (E5),2019,fevereiro de 2021 ,"R$ 185.450,00"
501027-6,13000 Turbo 2p (diesel),2007,outubro de 2021 ,"R$ 54.682,00"
501034-9,10000 / 10000 S  2p (diesel) (E5),2017,abril de 2020 ,"R$ 107.856,00"
501030-6,14000 / 14000 S 2p (diesel) (E5),2018,novembro de 2020 ,"R$ 151.904,00"
501031-4,14000 / 14000 S 6x2 2p (diesel) (E5),2019,abril de 2020 ,"R$ 197.791,00"
501031-4,14000 / 14000 S 6x2 2p (diesel) (E5),2018,março de 2021 ,"R$ 161.609,00"
501030-6,14000 / 14000 S 2p (diesel) (E5),2018,setembro de 2020 ,"R$ 153.389,00"
501034-9,10000 / 10000 S  2p (diesel) (E5),2017,março de 2020 ,"R$ 106.099,00"
501002-0,1600 D-RS 2p (diesel),1992,novembro de 2021 ,"R$ 13.669,00"
501034-9,10000 / 10000 S  2p (diesel) (E5),2017,janeiro de 2020 ,"R$ 107.352,00"
501031-4,14000 / 14000 S 6x2 2p (diesel) (E5),2018,agosto de 2021 ,"R$ 173.428,00"
501030-6,14000 / 14000 S 2p (diesel) (E5),2018,janeiro de 2020 ,"R$ 160.215,00"
501027-6,13000 Turbo 2p (diesel),2007,setembro de 2020 ,"R$ 53.178,00"
501003-9,1800 D-RD 2p (diesel),1992,janeiro de 2021 ,"R$ 14.480,00"
