Código FIPE,Modelo,Ano,Mês de Referência,Preço
038002-4,Legend 3.2/3.5,1996,outubro de 2021 ,"R$ 22.355,00"
038002-4,Legend 3.2/3.5,1996,junho de 2021 ,"R$ 21.075,00"
038002-4,Legend 3.2/3.5,1996,novembro de 2020 ,"R$ 20.921,00"
038002-4,Legend 3.2/3.5,1996,outubro de 2020 ,"R$ 20.947,00"
038002-4,Legend 3.2/3.5,1996,abril de 2021 ,"R$ 20.792,00"
038002-4,Legend 3.2/3.5,1996,fevereiro de 2021 ,"R$ 20.843,00"
038002-4,Legend 3.2/3.5,1996,janeiro de 2021 ,"R$ 20.869,00"
038002-4,Legend 3.2/3.5,1996,fevereiro de 2020 ,"R$ 21.155,00"
038002-4,Legend 3.2/3.5,1996,abril de 2020 ,"R$ 21.103,00"
038002-4,Legend 3.2/3.5,1996,dezembro de 2020 ,"R$ 20.895,00"
038002-4,Legend 3.2/3.5,1996,agosto de 2020 ,"R$ 20.999,00"
038002-4,Legend 3.2/3.5,1996,março de 2021 ,"R$ 20.817,00"
038002-4,Legend 3.2/3.5,1996,maio de 2020 ,"R$ 21.077,00"
038002-4,Legend 3.2/3.5,1996,setembro de 2020 ,"R$ 20.973,00"
038002-4,Legend 3.2/3.5,1996,julho de 2020 ,"R$ 21.025,00"
038002-4,Legend 3.2/3.5,1996,setembro de 2021 ,"R$ 22.028,00"
038002-4,Legend 3.2/3.5,1996,maio de 2021 ,"R$ 20.767,00"
038002-4,Legend 3.2/3.5,1996,agosto de 2021 ,"R$ 21.706,00"
038002-4,Legend 3.2/3.5,1996,dezembro de 2021 ,"R$ 22.510,00"
038002-4,Legend 3.2/3.5,1996,julho de 2021 ,"R$ 21.388,00"
038002-4,Legend 3.2/3.5,1996,novembro de 2021 ,"R$ 22.432,00"
038002-4,Legend 3.2/3.5,1996,junho de 2020 ,"R$ 21.051,00"
038001-6,NSX 3.0,1993,dezembro de 2021 ,"R$ 40.517,00"
038002-4,Legend 3.2/3.5,1996,março de 2020 ,"R$ 21.129,00"
038002-4,Legend 3.2/3.5,1996,janeiro de 2020 ,"R$ 21.181,00"
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2006,janeiro de 2021 ,"R$ 42.102,00"
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2006,dezembro de 2021 ,"R$ 43.966,00"
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2006,março de 2020 ,"R$ 43.622,00"
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2006,junho de 2021 ,"R$ 42.147,00"
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2006,agosto de 2020 ,"R$ 42.848,00"
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2005,agosto de 2021 ,"R$ 39.362,00"
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2006,fevereiro de 2021 ,"R$ 41.958,00"
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2005,outubro de 2021 ,"R$ 40.541,00"
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2014,novembro de 2020 ,"R$ 106.097,00"
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2014,junho de 2020 ,"R$ 109.339,00"
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2005,novembro de 2021 ,"R$ 40.682,00"
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2014,outubro de 2020 ,"R$ 106.716,00"
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2005,abril de 2021 ,"R$ 37.772,00"
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2014,dezembro de 2020 ,"R$ 105.481,00"
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2014,março de 2020 ,"R$ 111.467,00"
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2005,março de 2021 ,"R$ 37.890,00"
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2013,março de 2021 ,"R$ 100.084,00"
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2005,setembro de 2020 ,"R$ 38.605,00"
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2005,julho de 2021 ,"R$ 38.786,00"
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2013,agosto de 2021 ,"R$ 103.582,00"
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2005,maio de 2020 ,"R$ 39.098,00"
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2004,maio de 2021 ,"R$ 34.795,00"
