Código FIPE,Modelo,Ano,Mês de Referência,Preço
840015-6,ATV 100,2002,outubro de 2021 ,"R$ 3.860,00"
840015-6,ATV 100,2002,julho de 2021 ,"R$ 3.704,00"
840015-6,ATV 100,2002,setembro de 2021 ,"R$ 3.807,00"
840014-8,ATV 50,2001,novembro de 2021 ,"R$ 2.718,00"
840014-8,ATV 50,2001,junho de 2020 ,"R$ 2.672,00"
840014-8,ATV 50,2001,julho de 2021 ,"R$ 2.602,00"
840014-8,ATV 50,2001,janeiro de 2021 ,"R$ 2.581,00"
840014-8,ATV 50,2001,fevereiro de 2020 ,"R$ 2.724,00"
840015-6,ATV 100,2002,setembro de 2020 ,"R$ 3.744,00"
840014-8,ATV 50,2001,outubro de 2020 ,"R$ 2.620,00"
840015-6,ATV 100,2002,novembro de 2021 ,"R$ 3.873,00"
840014-8,ATV 50,2001,janeiro de 2020 ,"R$ 2.737,00"
840015-6,ATV 100,2002,agosto de 2020 ,"R$ 3.763,00"
840014-8,ATV 50,2000,novembro de 2021 ,"R$ 2.494,00"
840015-6,ATV 100,2002,março de 2021 ,"R$ 3.636,00"
840015-6,ATV 100,2002,maio de 2020 ,"R$ 3.820,00"
840015-6,ATV 100,2002,fevereiro de 2021 ,"R$ 3.654,00"
840015-6,ATV 100,2001,setembro de 2020 ,"R$ 3.565,00"
840015-6,ATV 100,2002,janeiro de 2020 ,"R$ 3.898,00"
840014-8,ATV 50,2000,outubro de 2020 ,"R$ 2.503,00"
840014-8,ATV 50,2001,maio de 2021 ,"R$ 2.530,00"
840014-8,ATV 50,2000,maio de 2021 ,"R$ 2.405,00"
840015-6,ATV 100,2001,agosto de 2020 ,"R$ 3.583,00"
840014-8,ATV 50,2001,setembro de 2020 ,"R$ 2.633,00"
840014-8,ATV 50,2001,abril de 2020 ,"R$ 2.698,00"
840014-8,ATV 50,2001,junho de 2021 ,"R$ 2.567,00"
840014-8,ATV 50,2000,setembro de 2020 ,"R$ 2.510,00"
840015-6,ATV 100,2001,setembro de 2021 ,"R$ 3.623,00"
840014-8,ATV 50,2000,abril de 2020 ,"R$ 2.595,00"
840015-6,ATV 100,2000,setembro de 2020 ,"R$ 3.258,00"
840015-6,ATV 100,2001,novembro de 2021 ,"R$ 3.686,00"
840007-5,JAGUAR JT 100,1999,agosto de 2021 ,"R$ 1.871,00"
840015-6,ATV 100,2002,abril de 2021 ,"R$ 3.618,00"
840007-5,JAGUAR JT 100,1999,dezembro de 2021 ,"R$ 1.934,00"
840015-6,ATV 100,2002,agosto de 2021 ,"R$ 3.755,00"
840014-8,ATV 50,2000,junho de 2021 ,"R$ 2.356,00"
840014-8,ATV 50,2000,janeiro de 2020 ,"R$ 2.616,00"
840015-6,ATV 100,2000,agosto de 2020 ,"R$ 3.267,00"
840015-6,ATV 100,2002,outubro de 2020 ,"R$ 3.726,00"
840015-6,ATV 100,2002,junho de 2020 ,"R$ 3.801,00"
840015-6,ATV 100,2001,março de 2021 ,"R$ 3.461,00"
840014-8,ATV 50,2000,janeiro de 2021 ,"R$ 2.484,00"
840007-5,JAGUAR JT 100,1998,agosto de 2021 ,"R$ 1.763,00"
840015-6,ATV 100,2002,março de 2020 ,"R$ 3.858,00"
840007-5,JAGUAR JT 100,1999,outubro de 2021 ,"R$ 1.922,00"
840015-6,ATV 100,2001,outubro de 2021 ,"R$ 3.673,00"
840015-6,ATV 100,2001,julho de 2021 ,"R$ 3.526,00"
840015-6,ATV 100,2002,dezembro de 2020 ,"R$ 3.690,00"
840007-5,JAGUAR JT 100,1999,junho de 2021 ,"R$ 1.821,00"
840014-8,ATV 50,2001,dezembro de 2021 ,"R$ 2.727,00"
840015-6,ATV 100,2002,dezembro de 2021 ,"R$ 3.886,00"
840014-8,ATV 50,2000,dezembro de 2021 ,"R$ 2.502,00"
840014-8,ATV 50,2001,agosto de 2021 ,"R$ 2.637,00"
840015-6,ATV 100,2001,maio de 2020 ,"R$ 3.637,00"
840015-6,ATV 100,2001,junho de 2020 ,"R$ 3.619,00"
840007-5,JAGUAR JT 100,1999,setembro de 2021 ,"R$ 1.896,00"
840015-6,ATV 100,2001,outubro de 2020 ,"R$ 3.547,00"
840014-8,ATV 50,2000,agosto de 2021 ,"R$ 2.420,00"
840015-6,ATV 100,2000,setembro de 2021 ,"R$ 3.369,00"
